Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL
2002-09-26,40.137458722436,12.680803477697001,,3.79,11.395307453311998,2.9674371814276475,9.859752095608222,6.07,17.41204176433,2.0133219777658,8.60151501393,30.706252911437996,22.478808245506002,9.4012766542543,29.800885390037998,0.92,4.6706076099801,10.432607047311,24.716033442944003,3.08,2.95,,24.589389243027,14.564500431323,5.2815339606268,24.614663736053,
2002-09-27,39.028306149795,12.211704542365,,3.65,11.158726675734998,2.8657421836813777,9.839813264272307,5.74,17.348389628470002,1.8903710172915,8.4353131621521,30.007930070696997,22.427217538056997,8.9305305808555,29.337515856241,0.89,4.0685554709293,10.089584820132,24.845714515146998,2.9275,2.6,,24.579498096911006,14.465422197097,5.1306329903232015,24.192269838562,
2002-09-30,38.127119684524004,12.226836766085,,3.3,11.261245012685,2.7343385349081086,9.520791962897727,5.34,16.785068226115,1.9287931924397,8.1529976878992,29.668744690908,22.618840165724002,8.9100633602729,29.198508436879,0.83,4.162626117656,9.9713012935185,25.040236123449997,2.8975,2.759,,24.243199128986,15.010352485344,5.187220854187,24.219521057755,
2002-10-01,40.310763811911,12.711067925138,,3.6,11.750178619678,2.5252353372949954,9.660363782249103,5.27,17.026946342381,1.9748998026176,8.414822522891798,31.158500084489003,23.753835729595,8.9032409534121,30.845746356313,0.85,4.2943250230732986,10.826885469356,25.040236123449997,2.9975,2.95,,25.014708525991,16.050673944724,5.3569844457786,24.655540564843,
2002-10-02,39.6868654898,12.605142359094998,,3.3,11.064094364704001,2.5732262351078408,9.969415667955733,5.37,17.49797214774,1.9748998026176,8.4170992605874,30.466827937469002,23.628544011506,8.5280085760652,28.983046936869002,0.83,4.0450378092476,10.487806026397001,24.757295602280998,3.175,2.91,,24.104723083369002,15.85251747627,5.187220854187,23.769875941071,
2002-10-03,39.860170579276,12.829099270157,,3.34,10.212403565425,2.327558543923033,10.44794762001761,3.63,17.186076682029,1.6060469211948,8.1507209502037,29.130038499479,23.068416330633998,8.3915604388481,28.635528388464998,0.79,3.9086353714939,10.373465284004,24.769226829078,3.26,2.87,,24.292654859562997,14.911274251117,5.1521902717950985,23.844816793852,
2002-10-04,39.6868654898,12.375132558545001,,3.36,9.620951621481698,2.263570680172572,10.128926318643025,3.51,16.953746386142,1.5215181358688,7.679436247217,26.968563040043,22.928384410416,8.050440095805499,28.51042171104,0.71,3.7628258690675,10.061985330589,24.685708241504003,3.1025,2.5,,23.362887124710003,14.06910926019,4.9797320200196,23.660871064299002,
2002-10-07,38.43906884558,11.969588962839,,2.89,9.747128036189697,2.3252732630748034,9.974400375789713,3.2,17.026946342381,1.3294072601278002,7.2810071504892,26.303493667909002,21.859719756121997,7.8594127037017,28.579925420721,0.67,3.7063834810315,9.7662765140551,23.934040953338,3.14,2.43,,23.026588156785003,13.722335440397,4.8503883311879,23.23166436201,
2002-10-08,39.444238364534996,11.945377404886,,2.91,10.212403565425,2.2955646120478037,9.954461544453801,3.55,17.011033308416,0.98360768379396,7.536001772395,26.961912346322,22.405107234865,8.343803590822201,29.712835888517,0.73,3.769881167572,9.8569605511255,23.659622737024,3.145,2.4,,22.858438672822,14.544684784478,4.6967927007003,23.565491797124,
2002-10-09,38.92432309611,12.196572318645,,2.35,9.8259882953821,2.0910319761311493,9.057214134337784,3.56,16.804163866873,0.8452878532604301,7.2149817573171,26.236986730695,21.388033288019,7.4364234783288,28.211555759413,0.71,3.3183420632839,9.332570249805599,22.967611582838998,3.0,2.01,,22.690289188859,13.880860615159,4.4515786239569,22.761580830931,
2002-10-10,40.414746865596,12.270720214875,,2.53,10.527844602195,2.3252732630748034,10.188742812650759,3.63,16.813711687252,0.8913944634382801,8.378394719762401,27.454063681701,22.184004202942,7.4023114440245985,30.157659630474,0.73,3.3983021130016,9.8727316880073,23.456791881487003,3.0425,2.07,,22.650724604397002,13.880860615159,4.7399072636442,23.844816793852,
2002-10-11,41.801187581397,12.6299226424,,2.83,11.300675142281001,2.487528203299187,10.961372526917328,3.76,17.345207021677002,1.1065586442682,8.3670110312845,28.937168381560003,23.120007038083,7.4364234783288,30.901349324058,0.89,3.7087352471997006,10.322209089139001,23.796831845180996,3.005,2.25,,23.402451709172002,15.902056593384,4.820747069164,24.62828934565,
2002-10-14,41.939831652977,13.174814460426,,3.05,11.434737582909,2.4086860140352253,11.26543970478998,3.93,17.870337142517,1.06813646912,8.423929473674201,29.62884052858,23.643284213634,7.511469953798199,30.741490791792003,0.92,3.7581223367312,10.176326072982,23.355376453717998,3.05,2.02,,23.79809755379,17.358506636515994,4.7695485256681,24.594225321658,
2002-10-15,43.430255422463,13.433561971779001,,3.5,13.193321362901,2.513808933053841,11.509690388654894,4.2,18.207693462572,0.9144477685272,8.7973144557505,31.491034770556002,24.446625229621,8.0981969438315,31.846599775716,1.0,4.1273496251335,10.787457627152,23.844556752366,3.0,2.11,,24.826776749798004,18.230395097711,4.79110580714,25.316382630272003,
2002-10-16,42.737035064562,13.241784404540999,,3.47,12.601869418957,2.4109712948834567,11.061066683596888,3.49,17.921258851205,0.73002132781583,8.817805095010801,31.091993147274998,23.621173910442,7.6752077184587,30.56773151759,0.99,3.8545447496261,10.448378184193,23.86245359256,3.0,2.01,,24.243199128986,17.635925692351,4.6267315359164005,25.595707627,
2002-10-17,43.36093338667301,13.454870590360999,,3.46,13.240637518416,2.5229500564467635,11.429935063311248,4.33,16.581381391365,0.80686567811223,8.6516032432329,32.920933920644,23.952828458326,8.255112301631101,31.728443469258,0.86,4.1249978589652985,10.882084448443,24.339702664411,2.9975,2.15,,24.490477781872002,18.329473331938,4.6482888173884005,27.162652730595997,
2002-10-18,43.430255422463,13.393988822984,,3.52,13.366813933124002,2.5332338202638023,11.868589352701301,4.4,16.995120274451,0.9912921188236,8.867893324313801,33.007392939022004,23.67276461789,8.255112301631101,31.158513049876,0.8,4.0074095505569,10.728315863845001,24.608155267328,2.91,2.11,,23.986029329984003,17.635925692351,4.796495127508,27.550982604096,
2002-10-21,44.712713084579,13.287445730074001,,3.543,13.619166762539999,2.7160562881222634,12.416907214438865,5.55,17.313380953748,1.0450831640311,9.1297181593063,33.020694326465,23.871757346621,8.5484757966477,32.103763501534,0.84,4.3131391524187,11.016139111938,24.429186865384,2.85,2.45,,24.371784028487,17.586386575237,4.9447014376277,28.136883816745,
2002-10-22,44.643391048789,13.028698218721,,3.57,13.398358036801,2.2738544439896105,11.973268217214837,5.32,17.186076682029,1.0527675990607,9.3983732073857,32.189357611297005,23.289519362557,8.3915604388481,30.929150807930004,0.8,4.148515520647,10.748029784946999,24.369530731402,2.7175,2.25,,25.103728841031,17.120718874372002,4.8719456126598,27.932499672798,
2002-10-23,44.851357156159,13.1382854,,4.23,13.800545358683,2.324130622650688,12.29228951858942,5.85,17.249728817888,1.0297142939718,9.4530149120798,33.280071381597,23.871757346621,8.1868882330226,30.512128549845,0.82,5.002206639691701,10.850542174679001,24.011593927514,2.7,2.47,,24.876232480375,17.229704932021,4.809968428428,28.150509426342,
2002-10-24,43.568899494042995,12.922155125810999,,3.861,13.556078555186,2.2487163546590723,12.282320102921464,5.92,17.291102706196998,0.98360768379396,9.334624551909199,33.027345020186,23.540102798736,8.9032409534121,28.899642485252,0.9,5.0680560924003,10.558776142366,24.220390396448998,2.4225,1.99,,24.530042366334,16.744221584311,4.6563727979404,27.387475288938,
2002-10-25,44.262119851943,13.113932693049,,3.99,13.895177669714,2.18244321006038,11.838681105697436,6.09,17.173346254856998,0.90676333349756,9.4370777482107,34.284326133520004,23.355850272134,8.828194477942699,30.484327065973,0.959,5.1856444008087,10.941226211749001,24.745364375485,2.395,1.99,,25.538939270110998,16.833391995114994,4.424632022117001,27.557795408894002,
2002-10-28,43.464916440358,12.961728274606,,3.76,13.761115229087,2.0818908527382263,11.704093994180033,6.11,17.087415871447,0.94518550864576,9.1843598640004,33.951791447453,22.957864814672998,9.2238940758721,29.942198130462998,0.95,5.1386090774454,10.874198880002,24.763261215679,2.5125,1.89,,26.310448667116,16.942378052764006,4.500082507268799,27.401100898535,
2002-10-29,43.603560511938,12.745598000416999,,3.8,13.209093414739002,2.0807482123141106,11.31030207529578,5.83,16.963294206521002,0.9528699436754,9.118334470828401,33.705715779763,22.699911277429,8.6781015270039,29.747587743357002,0.86,5.1127396495955,10.94911178019,24.667811401309,2.5,1.71,,27.279780986430996,16.843299818536998,4.545891730396598,26.910578953061,
2002-10-30,44.123475780362995,12.818656121269,,3.83,13.09868905187,2.3218453418024567,11.704093994180033,6.32,16.947381172556,0.97592324876432,9.3255176011269,34.590258044701,22.685171075301,9.4626783160019,29.969999614336,0.92,5.162126739127,10.996425190836,24.95416084442,2.5175,1.73,,27.497386200970997,16.823484171691998,4.5819922755983,27.244406388175,
2002-10-31,43.984831708783,12.745598000416999,,3.9,13.311611751689,2.3424128694365334,11.783849319523675,6.14,17.042859376345,1.3601450002463,9.1752529132181,34.530401801209,22.434587639121,9.3808094336717,30.720639678888002,0.97,5.0892219879139,11.087109227906,25.055576272188002,2.5475,1.77,,27.190760671392002,16.843299818536998,4.4486979548537,27.101337487412,
2002-11-01,44.400763923522995,12.702980763253,,4.0,13.327383803527999,2.4109712948834567,12.197580069743841,6.51,16.724598697049,1.5215181358688,9.532700731425301,34.749874694014004,23.053676128505998,9.9470692031224,30.977803404706002,1.0,5.2703079828627,11.319733496912,25.365788168892003,2.46025,1.82,,28.031508091206003,17.388230106784,4.4375900947916,26.808386881087998,
2002-11-04,44.47008595931401,12.806479767794,,3.75,13.327383803527999,2.487528203299187,13.648130049431398,6.73,16.724598697049,1.4216204804835,9.733053648637,35.980253032462,23.385330676389998,10.254077511861,30.526029291782,1.06,5.3149915400579015,11.244820596724,25.473169210057996,2.4525,1.71,,27.546841931548,18.428551566164,4.5708844155363,26.726633223509,
2002-11-05,44.643391048789,13.226563962697,,3.74,12.940968533485,2.46467539481688,12.870515627330851,6.8,16.750059551392,1.5445714409577,9.566851796859199,35.255327416835996,23.407440979583,10.281367139304,30.456525582101,1.03,5.2585491520219,11.426188670864999,25.502997277048998,2.4375,1.7,,28.723888319288,18.032238629258,4.6319776458775985,26.338303350009,
2002-11-06,45.232628353003996,13.865822520157002,,3.819,13.358927907205,2.5880805606213406,13.000118031014276,7.23,16.613207459295,1.7597356217876,10.010815647499,35.348437128934,23.436921383839003,10.206320663835,31.304470840205997,1.13,5.5783893508926,11.670641292533,25.497031663651,2.5125,1.72,,28.664541442595,18.686154975154,4.5681074505208,26.978707001044,
2002-11-07,44.574069012999,13.896263403846,,3.84,13.800545358683,2.470388596937456,12.750882639315385,6.82,16.5654683574,1.4754115256908995,9.698902583203198,34.563655269815996,22.626210266788,9.694640149270901,30.373121130483998,1.06,5.5031328335113,11.532643844816999,25.312097648308,2.5575,1.61,,28.437045081940003,18.428551566164,4.4598058149157,26.835638100281,
2002-11-08,44.47008595931401,13.969321524698,,3.73,13.808431384602,2.359552475798264,12.815683841157096,6.1,16.584563998158,1.5292025708984,8.981730209093099,33.911887285125,22.596729862532,9.585481639497301,29.566878098186997,1.0,5.3925998236074015,11.315790712692001,25.497031663651,2.535,1.57,,28.595303419787,18.032238629258,4.3070727390624,27.251219192973,
2002-11-11,43.811526619308005,13.421385618304,,3.7,13.674368943975,2.231576748297341,12.307243642091356,5.95,16.135816440349,1.1834029945646,8.886107225878499,33.240167219269,22.545139155083,9.2375388895938,28.663329872338,0.96,5.1503679082862,11.059509738363,25.353856942095,2.485,1.45,,28.288677890208,17.754819573423,4.1876632433953,26.937830172254,
2002-11-12,44.296780869838,13.223519874328,,3.9,13.800545358683,2.2818529269584182,13.149659266033616,6.37,16.135816440349,1.1987718646238998,8.949855881354901,33.180310975777005,23.488512091287998,9.414921467976,28.552123936848997,0.97,5.2068102963222005,11.21327832296,25.383685009085998,2.43,1.37,,28.605194565902,17.982699512144002,4.1099082229609,26.706194809114,
2002-11-13,44.608730030894,13.083491809360002,,3.79,14.155416525049,2.2898514099272256,13.523512353581953,6.33,16.5654683574,1.175718559535,8.9794534713975,33.186961669498,23.754336182858,9.1420251935419,28.711982469113998,0.97,5.2115138286585,11.370989691778,25.234544674133,2.515,1.3,,28.486500812517,18.180855980598,4.0738076777592,26.924204562658,
2002-11-14,45.059323263528995,13.381812469507999,,3.89,14.98344924657,2.3081336567130717,13.987090182141893,6.59,17.074685444275,1.1834029945646,9.086568779305098,33.479592193236996,23.96108825408,9.537724791471302,29.448721791729998,1.01,5.267956216694599,11.544472197478001,25.347891328697,2.7675,1.39,,29.258010209523,18.606892387772,4.0654767827127,26.733446028307,
2002-11-15,44.886018174054,13.683177218026,,4.5,14.754754494912,2.2167224227838407,14.430729179365926,6.48,17.128789759756,1.1680341245053,9.278008904076,33.586003292779004,23.8798642261,9.414921467976,29.678084033677006,1.03,5.2561973858537,11.816524308689,25.11523240617,2.7725,1.98,,29.277792501753996,18.864495796762,3.9960526573248,27.217155168982,
2002-11-18,44.192797816153,13.558369594902,,4.73,15.220030024147,2.1915843334533034,13.857487778458474,6.52,16.676859595154,1.1603496894757,9.1777307434817,33.120454732285,23.318680032784,9.278473330758901,29.469572904634,1.12,5.2914738783762,11.721897487398,24.864676643448,3.785,2.02,,28.971166972174,18.904127090452,4.018268377449,27.203529559386002,
2002-11-19,44.366102905628004,13.527928711214,,4.801,14.778412572669001,2.1447360760645724,13.653114757265378,5.58,16.851902968767,1.0066609888829,8.8860124581165,33.226865831826004,23.584504124355,11.325195389015,29.573828469155,1.22,5.0562972615595,11.777096466485,24.578327200337,3.695,1.999,,29.109643017791,18.705970621999,4.0238223074800015,27.455603336921,
2002-11-20,44.823628341843005,13.759279427247,,4.91,14.589147950608,2.1698741653951106,14.15657024849714,5.55,16.963294206521002,1.0835053391793,9.020476355277,34.284326133520004,23.909400236275,11.604914070310002,30.164610001442,1.511,4.7976029830611,11.773153682263999,24.506739839559003,3.725,2.09,,29.218445625061,19.062652265215,4.0043835523714,27.292096021763,
